subj,sport,gender,orientation,age,education,race,hispanic_or_latino,Running,CrossFit,Rock climbing,Yoga/Pilates,Cycling,Weightlifting,Hiking,Swimming,Other (please specify),duration,frequency,percent women,current_frame_size,ideal_frame_size,diff,current_thinness,current_tone,current_size
1001,Rock climbing,Female,5-Attracted to men exclusively,28,22,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Gym; Group ex classes,1-3 years,Three days a week,Less than 25%,8,4,-4,1,2,3
1002,Rock climbing,Female,5-Attracted to men exclusively,24,18,"White, Caucasian",No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,skiing,1-3 years,Three days a week,About 25%,3,3,0,2,2,3
1003,Rock climbing,Female,5-Attracted to men exclusively,22,15,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,No,Yes,No,,Less than 1 year,Three days a week,About 50%,5,3,-2,1,3,3
1004,Rock climbing,Female,5-Attracted to men exclusively,,21,Other,No,No,Yes,Yes,No,Yes,No,Yes,No,,4-6 years,One day a week,About 75%,4,4,0,1,3,2
1005,Rock climbing,Female,5-Attracted to men exclusively,27,17,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,No,No,Yes,,4-6 years,Three days a week,Less than 25%,2,3,1,4,3,2
1006,Rock climbing,Female,5-Attracted to men exclusively,31,15,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,No,Yes,No,"skiing/snowboarding, aerobic type fitness classes/dance classes",4-6 years,Four days a week,About 50%,5,4,-1,2,3,3
1007,Rock climbing,Female,5-Attracted to men exclusively,35,18,"White, Caucasian",No,No,No,Yes,Yes,No,No,Yes,No,gymnastics style strength training,10 or more years,Three days a week,About 25%,4,3,-1,1,2,2
1008,Rock climbing,Female,5-Attracted to men exclusively,26,16,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,No,No,Yes,,4-6 years,Two days a week,About 25%,6,4,-2,2,2,3
1009,Rock climbing,Female,3-Attracted to women and men equally,25,20,"White, Caucasian",No,No,No,Yes,No,No,No,Yes,No,,4-6 years,Three days a week,About 50%,4,1,-3,2,2,2
1010,Rock climbing,Female,4-Attracted to men more than women,41,22,"White, Caucasian",No,Yes,No,Yes,Yes,No,Yes,No,No,,10 or more years,Four days a week,About 25%,3,2,-1,3,3,2
1011,Rock climbing,Female,5-Attracted to men exclusively,22,12,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,No,Yes,No,,10 or more years,Five days a week,About 25%,6,4,-2,1,2,4
1012,Rock climbing,Female,5-Attracted to men exclusively,21,15,Asian,No,Yes,No,Yes,No,No,No,Yes,No,,7-9 years,One day a week,About 50%,3,2,-1,3,2,2
1013,Rock climbing,Female,5-Attracted to men exclusively,30,18,"White, Caucasian",No,No,No,Yes,Yes,No,No,No,No,,10 or more years,Six days a week,About 25%,3,1,-2,3,3,3
1014,Rock climbing,Female,4-Attracted to men more than women,25,17,Asian,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Kayaking,4-6 years,Seven days a week,Less than 25%,2,1,-1,4,5,3
1015,Rock climbing,Female,5-Attracted to men exclusively,27,16,"White, Caucasian",No,No,No,Yes,No,No,No,No,No,Ballet,1-3 years,Two days a week,About 75%,6,5,-1,1,2,3
1016,Rock climbing,Female,5-Attracted to men exclusively,50,21,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,No,Yes,No,,10 or more years,Two days a week,About 25%,6,4,-2,1,3,4
1017,Rock climbing,Female,1-Attracted to women exclusively,36,16,Asian,No,No,No,Yes,No,No,No,Yes,No,Rowing,7-9 years,Two days a week,About 50%,4,4,0,1,2,2
1018,Rock climbing,Female,5-Attracted to men exclusively,36,20,"White, Caucasian",No,No,No,Yes,No,No,Yes,Yes,No,,7-9 years,One day a week,Less than 25%,7,5,-2,1,1,3
1019,Rock climbing,Female,5-Attracted to men exclusively,46,16,"White, Caucasian",No,No,No,Yes,Yes,No,No,Yes,No,,10 or more years,Two days a week,About 50%,3,3,0,1,2,2
1020,Rock climbing,Female,4-Attracted to men more than women,34,20,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,No,Yes,No,,10 or more years,Two days a week,About 50%,3,2,-1,2,3,3
1021,Rock climbing,Female,5-Attracted to men exclusively,34,21,"White, Caucasian",No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,,1-3 years,Three days a week,About 75%,6,4,-2,1,2,3
1022,Rock climbing,Female,5-Attracted to men exclusively,33,22,"White, Caucasian",No,Yes,No,Yes,No,Yes,No,Yes,No,,1-3 years,One day a week,More than 75%,4,3,-1,1,1,2
1023,Rock climbing,Female,5-Attracted to men exclusively,24,17,"White, Caucasian",No,No,No,Yes,No,No,No,No,No,Skiing,10 or more years,Three days a week,Less than 25%,0,1,1,4,4,3
1024,Rock climbing,Female,4-Attracted to men more than women,27,14,"White, Caucasian",Yes,Yes,No,Yes,No,No,No,Yes,Yes,,1-3 years,Three days a week,About 25%,8,5,-3,1,3,3
1025,Rock climbing,Female,5-Attracted to men exclusively,31,22,"White, Caucasian",No,No,No,Yes,Yes,Yes,No,No,Yes,,10 or more years,Five days a week,About 25%,4,2,-2,3,3,3
1026,Rock climbing,Female,5-Attracted to men exclusively,26,16,"White, Caucasian",No,No,No,Yes,Yes,Yes,No,Yes,Yes,,7-9 years,Four days a week,Less than 25%,3,2,-1,2,3,3
1027,Rock climbing,Female,4-Attracted to men more than women,30,18,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,,7-9 years,Two days a week,Less than 25%,5,4,-1,2,3,3
1028,Rock climbing,Female,5-Attracted to men exclusively,24,16,"White, Caucasian",No,No,No,Yes,Yes,No,No,Yes,No,Bootcamp type classes (not crossfit),4-6 years,Four days a week,About 50%,2,2,0,3,2,2
1029,Rock climbing,Female,5-Attracted to men exclusively,21,16,"White, Caucasian",No,Yes,No,Yes,No,No,Yes,Yes,No,,7-9 years,Two days a week,About 25%,4,5,1,4,3,3
1030,Rock climbing,Female,5-Attracted to men exclusively,25,16,"White, Caucasian",No,Yes,No,Yes,No,No,No,No,No,,1-3 years,Three days a week,About 25%,4,2,-2,2,2,3
1031,Rock climbing,Female,4-Attracted to men more than women,31,19,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,"Yoga/Pilates and Climbing regularly & frequently, others less frequently/ seldom. ",7-9 years,Two days a week,Less than 25%,1,0,-1,4,3,1
1032,Rock climbing,Female,5-Attracted to men exclusively,37,18,"White, Caucasian",No,Yes,No,Yes,Yes,No,Yes,Yes,No,Horse riding,4-6 years,Two days a week,About 25%,5,4,-1,1,2,4
1033,Rock climbing,Female,4-Attracted to men more than women,22,12,"White, Caucasian",No,No,No,Yes,No,Yes,Yes,Yes,Yes,Windsurfing,1-3 years,Three days a week,About 25%,5,3,-2,1,3,3
1034,Rock climbing,Female,5-Attracted to men exclusively,29,19,"White, Caucasian",No,No,No,Yes,Yes,Yes,No,Yes,No,,4-6 years,Four days a week,About 25%,7,4,-3,1,3,4
1035,Rock climbing,Female,5-Attracted to men exclusively,37,20,Other,No,Yes,No,Yes,Yes,No,No,No,No,,4-6 years,Four days a week,Less than 25%,3,2,-1,3,3,4
1036,Rock climbing,Female,5-Attracted to men exclusively,32,20,Other,No,Yes,No,Yes,Yes,No,No,Yes,No,"skiing, snowboarding",4-6 years,Two days a week,About 50%,3,3,0,3,3,3
1037,Rock climbing,Female,5-Attracted to men exclusively,26,18,"White, Caucasian",No,Yes,No,Yes,No,Yes,No,No,Yes,,1-3 years,Two days a week,About 50%,4,4,0,2,3,4
1038,Rock climbing,Female,3-Attracted to women and men equally,30,20,"White, Caucasian",No,No,No,Yes,Yes,No,No,Yes,Yes,,7-9 years,Four days a week,About 50%,4,4,0,2,5,4
1039,Rock climbing,Female,5-Attracted to men exclusively,30,18,"White, Caucasian",No,No,No,Yes,No,Yes,No,No,No,,1-3 years,Three days a week,About 25%,1,1,0,1,2,2
1040,Rock climbing,Female,5-Attracted to men exclusively,37,17,"White, Caucasian",No,No,No,Yes,No,No,No,Yes,Yes,,10 or more years,One day a week,More than 75%,5,4,-1,1,2,3
1041,Rock climbing,Female,2-Attracted to women more than men,22,16,"White, Caucasian",No,Yes,No,Yes,No,Yes,No,Yes,Yes,,4-6 years,Two days a week,About 25%,3,3,0,2,2,3
1042,Rock climbing,Female,1-Attracted to women exclusively,41,20,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,Yes,No,No,,4-6 years,Three days a week,About 75%,6,4,-2,1,4,4
1043,Rock climbing,Female,5-Attracted to men exclusively,31,16,"White, Caucasian",No,Yes,No,Yes,No,Yes,No,Yes,No,,Less than 1 year,Two days a week,Less than 25%,3,2,-1,1,3,2
1044,Rock climbing,Female,4-Attracted to men more than women,34,18,"White, Caucasian",No,No,No,Yes,Yes,Yes,Yes,No,Yes,"Snowboarding, golf",4-6 years,Three days a week,Less than 25%,3,1,-2,2,4,4
1045,Rock climbing,Female,4-Attracted to men more than women,28,10,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,4-6 years,Three days a week,About 50%,7,3,-4,1,1,1
1046,Rock climbing,Female,5-Attracted to men exclusively,23,16,"White, Caucasian",No,No,Yes,Yes,Yes,No,No,Yes,Yes,,4-6 years,Four days a week,About 25%,4,3,-1,2,4,3
1047,Rock climbing,Female,4-Attracted to men more than women,26,17,Other,No,No,No,Yes,Yes,No,No,No,No,,4-6 years,One day a week,About 50%,5,3,-2,2,3,4
1048,Rock climbing,Female,5-Attracted to men exclusively,33,22,"White, Caucasian",Yes,No,No,Yes,Yes,No,No,Yes,No,,1-3 years,Three days a week,Less than 25%,3,2,-1,3,3,2
1049,Rock climbing,Female,5-Attracted to men exclusively,36,19,Asian,No,No,No,Yes,Yes,Yes,No,No,No,,7-9 years,Three days a week,About 50%,7,4,-3,1,1,2
1050,Rock climbing,Female,5-Attracted to men exclusively,33,16,"White, Caucasian",No,Yes,No,Yes,Yes,No,No,Yes,No,,10 or more years,Three days a week,About 75%,1,3,2,4,3,2
1051,Rock climbing,Female,5-Attracted to men exclusively,,21,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,No,Yes,No,,1-3 years,Two days a week,Less than 25%,4,4,0,1,2,4
1052,Rock climbing,Female,4-Attracted to men more than women,28,22,"White, Caucasian",No,Yes,No,Yes,No,No,Yes,Yes,Yes,,1-3 years,Three days a week,About 25%,7,2,-5,1,1,2
1053,Rock climbing,Female,5-Attracted to men exclusively,25,18,"White, Caucasian",No,Yes,No,Yes,Yes,No,No,Yes,Yes,,1-3 years,One day a week,Less than 25%,4,2,-2,3,2,2
1054,Rock climbing,Female,4-Attracted to men more than women,26,18,"White, Caucasian",No,No,No,Yes,Yes,No,No,Yes,No,,4-6 years,Three days a week,About 50%,4,3,-1,1,2,3
1055,Rock climbing,Female,4-Attracted to men more than women,25,16,"White, Caucasian",No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,1-3 years,Three days a week,Less than 25%,2,1,-1,3,3,3
1056,Rock climbing,Female,5-Attracted to men exclusively,26,16,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,No,No,No,,10 or more years,Four days a week,Less than 25%,5,3,-2,1,3,4
1057,Rock climbing,Female,4-Attracted to men more than women,27,16,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,,7-9 years,Three days a week,Less than 25%,4,4,0,2,3,3
1058,Rock climbing,Female,2-Attracted to women more than men,37,22,"White, Caucasian",No,Yes,No,Yes,No,Yes,Yes,No,No,Skiing,10 or more years,Three days a week,About 25%,3,2,-1,4,5,4
1059,Rock climbing,Female,4-Attracted to men more than women,32,22,"White, Caucasian",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Telemark Skiing,10 or more years,Two days a week,About 75%,2,1,-1,3,4,3
1060,Rock climbing,Female,5-Attracted to men exclusively,29,20,"White, Caucasian",No,Yes,No,Yes,Yes,No,No,Yes,No,,1-3 years,Three days a week,Less than 25%,2,3,1,4,3,2
1061,Rock climbing,Female,5-Attracted to men exclusively,23,16,Asian,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,,1-3 years,Four days a week,Less than 25%,7,4,-3,1,3,3
1062,Rock climbing,Female,5-Attracted to men exclusively,26,16,"White, Caucasian",No,No,No,Yes,Yes,Yes,No,No,No,,1-3 years,Three days a week,Less than 25%,3,3,0,2,2,3
1063,Rock climbing,Female,5-Attracted to men exclusively,26,20,"Black, African American",No,Yes,No,Yes,No,No,No,Yes,No,,4-6 years,Two days a week,About 50%,4,3,-1,1,3,4
1064,Rock climbing,Female,5-Attracted to men exclusively,29,18,Other,No,No,No,Yes,Yes,No,No,Yes,No,,4-6 years,Three days a week,Less than 25%,4,2,-2,3,3,4
1065,Rock climbing,Female,5-Attracted to men exclusively,29,16,"White, Caucasian",No,No,No,Yes,Yes,No,No,No,No,,1-3 years,Two days a week,About 75%,6,5,-1,1,2,3
1066,Rock climbing,Female,5-Attracted to men exclusively,33,16,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,,4-6 years,Four days a week,Less than 25%,6,5,-1,1,3,4
1067,Rock climbing,Female,5-Attracted to men exclusively,40,19,"White, Caucasian",No,Yes,No,Yes,Yes,No,No,Yes,No,,10 or more years,Five days a week,About 50%,2,0,-2,1,4,4
1068,Rock climbing,Female,5-Attracted to men exclusively,19,14,Other,No,Yes,No,Yes,No,Yes,No,Yes,No,,4-6 years,Three days a week,Less than 25%,5,1,-4,2,2,2
1069,Rock climbing,Female,4-Attracted to men more than women,24,22,"White, Caucasian",No,Yes,No,Yes,Yes,No,No,Yes,Yes,,7-9 years,Four days a week,About 25%,2,3,1,2,4,2
1070,Rock climbing,Female,4-Attracted to men more than women,26,20,"White, Caucasian",No,No,No,Yes,No,Yes,No,Yes,Yes,,4-6 years,Four days a week,About 25%,2,2,0,4,4,3
1071,Rock climbing,Female,5-Attracted to men exclusively,23,12,Other,No,No,Yes,Yes,No,No,No,Yes,No,,4-6 years,Five days a week,About 50%,4,4,0,3,3,3
1072,Rock climbing,Female,5-Attracted to men exclusively,32,20,"White, Caucasian",No,No,No,Yes,Yes,No,Yes,No,No,,10 or more years,Five days a week,Less than 25%,5,1,-4,2,2,3
1073,Rock climbing,Female,4-Attracted to men more than women,27,16,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,No,Yes,No,,4-6 years,Two days a week,About 50%,6,4,-2,1,1,3
1074,Rock climbing,Female,5-Attracted to men exclusively,39,20,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,No,Yes,No,Dance,1-3 years,Two days a week,Less than 25%,8,5,-3,1,2,3
1075,Rock climbing,Female,5-Attracted to men exclusively,27,17,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,No,Yes,No,,7-9 years,Three days a week,About 50%,4,3,-1,2,3,3
1076,Rock climbing,Female,5-Attracted to men exclusively,26,18,"White, Caucasian",No,Yes,No,Yes,Yes,No,No,No,No,circuit training,4-6 years,Four days a week,About 25%,5,3,-2,1,3,4
1077,Rock climbing,Female,3-Attracted to women and men equally,25,16,Other,No,No,No,Yes,Yes,Yes,No,No,Yes,,1-3 years,Two days a week,About 25%,5,5,0,3,2,2
1078,Rock climbing,Female,5-Attracted to men exclusively,22,16,"White, Caucasian",No,No,No,Yes,Yes,No,No,Yes,No,,1-3 years,Three days a week,About 75%,5,4,-1,1,2,3
1079,Rock climbing,Female,4-Attracted to men more than women,32,16,"White, Caucasian",No,Yes,No,Yes,No,Yes,No,Yes,No,,1-3 years,Two days a week,Less than 25%,4,5,1,1,1,3
1080,Rock climbing,Female,4-Attracted to men more than women,21,14,"White, Caucasian",No,No,No,Yes,Yes,No,No,No,No,Horse riding,1-3 years,Four days a week,Less than 25%,4,2,-2,3,2,3
1081,Rock climbing,Female,5-Attracted to men exclusively,27,17,"White, Caucasian",No,No,No,Yes,Yes,Yes,No,Yes,Yes,,1-3 years,One day a week,Less than 25%,7,6,-1,1,1,2
1082,Rock climbing,Female,5-Attracted to men exclusively,32,20,"White, Caucasian",No,Yes,No,Yes,No,No,No,Yes,No,skiing,10 or more years,Four days a week,About 50%,5,2,-3,1,3,4
1083,Rock climbing,Female,5-Attracted to men exclusively,31,17,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,No,Yes,No,Tennis,4-6 years,Two days a week,Less than 25%,3,2,-1,3,3,3
1084,Rock climbing,Female,5-Attracted to men exclusively,22,20,"White, Caucasian",No,Yes,No,Yes,No,Yes,No,Yes,No,Horse riding ,4-6 years,Two days a week,Less than 25%,4,2,-2,2,2,2
1085,Rock climbing,Female,5-Attracted to men exclusively,39,22,"White, Caucasian",No,No,No,Yes,Yes,No,No,Yes,No,,1-3 years,One day a week,Less than 25%,6,5,-1,1,2,2
1086,Rock climbing,Female,6-Attracted to neither men nor women,20,13,"White, Caucasian",No,No,No,Yes,No,Yes,No,Yes,No,Shinty,4-6 years,Two days a week,About 50%,6,4,-2,1,3,3
1087,Rock climbing,Female,5-Attracted to men exclusively,26,22,"White, Caucasian",No,No,No,Yes,No,No,No,Yes,No,,4-6 years,Two days a week,About 75%,6,3,-3,1,2,3
1088,Rock climbing,Female,3-Attracted to women and men equally,31,20,"White, Caucasian",No,Yes,No,Yes,Yes,No,No,Yes,No,,4-6 years,Two days a week,About 75%,4,2,-2,2,2,2
1089,Rock climbing,Female,5-Attracted to men exclusively,37,18,"White, Caucasian",No,Yes,No,Yes,No,Yes,No,Yes,No,"Skiing, Snowboarding",10 or more years,Three days a week,About 25%,7,3,-4,2,4,4
1090,Rock climbing,Female,5-Attracted to men exclusively,23,18,"White, Caucasian",No,Yes,No,Yes,Yes,No,No,No,No,,10 or more years,Six days a week,Less than 25%,3,3,0,2,4,4
1091,Rock climbing,Female,5-Attracted to men exclusively,29,22,"White, Caucasian",No,No,No,Yes,Yes,No,No,Yes,No,,Less than 1 year,Three days a week,About 25%,5,3,-2,1,2,2
1092,Rock climbing,Female,5-Attracted to men exclusively,28,20,"White, Caucasian",No,No,No,Yes,Yes,No,No,Yes,Yes,skiing,10 or more years,Four days a week,About 25%,5,3,-2,2,3,5
1093,Rock climbing,Female,5-Attracted to men exclusively,29,22,"White, Caucasian",No,No,Yes,Yes,Yes,Yes,No,No,Yes,,10 or more years,Three days a week,About 25%,4,3,-1,2,3,4
1094,Rock climbing,Female,4-Attracted to men more than women,40,20,"White, Caucasian",No,No,No,Yes,Yes,Yes,Yes,Yes,No,,1-3 years,Two days a week,About 50%,4,2,-2,3,2,4
1095,Rock climbing,Female,3-Attracted to women and men equally,30,18,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,4-6 years,Five days a week,About 50%,3,4,1,3,3,3
1096,Rock climbing,Female,5-Attracted to men exclusively,24,18,"White, Caucasian",No,No,Yes,Yes,Yes,No,Yes,No,No,,4-6 years,Four days a week,Less than 25%,6,4,-2,1,2,4
1097,Rock climbing,Female,5-Attracted to men exclusively,36,21,"White, Caucasian",No,No,No,Yes,Yes,No,No,Yes,No,,1-3 years,Four days a week,About 25%,4,2,-2,1,2,3
1098,Rock climbing,Female,5-Attracted to men exclusively,44,18,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,No,No,No,Back Country Skiing,7-9 years,Three days a week,About 50%,2,2,0,3,4,4
1099,Rock climbing,Female,1-Attracted to women exclusively,35,18,"White, Caucasian",No,No,No,Yes,Yes,Yes,No,Yes,Yes,,4-6 years,Three days a week,About 50%,5,4,-1,1,1,3
1100,Rock climbing,Female,5-Attracted to men exclusively,31,16,"White, Caucasian",No,No,No,Yes,Yes,No,No,Yes,Yes,,4-6 years,Two days a week,Less than 25%,4,3,-1,1,2,3
1101,Rock climbing,Female,2-Attracted to women more than men,38,18,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,,4-6 years,Two days a week,About 25%,6,6,0,1,3,4
1102,Rock climbing,Female,4-Attracted to men more than women,29,19,"White, Caucasian",No,No,No,Yes,Yes,Yes,Yes,Yes,No,,4-6 years,Three days a week,About 50%,5,3,-2,1,3,3
1103,Rock climbing,Female,5-Attracted to men exclusively,29,18,Asian,No,Yes,No,Yes,No,No,No,Yes,No,,1-3 years,Four days a week,Less than 25%,4,3,-1,3,2,3
1104,Rock climbing,Female,4-Attracted to men more than women,40,16,"White, Caucasian",No,No,No,Yes,Yes,No,No,Yes,No,,7-9 years,Three days a week,About 50%,2,3,1,3,4,3
1105,Rock climbing,Female,1-Attracted to women exclusively,68,19,"White, Caucasian",No,No,No,Yes,No,No,No,No,No,,10 or more years,Three days a week,About 50%,8,8,0,1,3,2
1106,Rock climbing,Female,5-Attracted to men exclusively,27,16,"White, Caucasian",No,Yes,No,Yes,No,Yes,Yes,Yes,No,Volleyball,7-9 years,Four days a week,Less than 25%,3,2,-1,2,5,4
1107,Rock climbing,Female,5-Attracted to men exclusively,45,22,"White, Caucasian",No,No,No,Yes,No,No,No,Yes,Yes,,10 or more years,Four days a week,About 50%,6,5,-1,1,3,4
1108,Rock climbing,Female,5-Attracted to men exclusively,29,16,Asian,No,No,No,Yes,Yes,No,No,Yes,No,,1-3 years,Three days a week,Less than 25%,3,4,1,4,2,2
1109,Rock climbing,Female,4-Attracted to men more than women,27,18,"White, Caucasian",No,No,No,Yes,Yes,No,No,Yes,No,Kayaking ,4-6 years,Three days a week,About 50%,2,2,0,4,3,3
1110,Rock climbing,Female,5-Attracted to men exclusively,30,21,"White, Caucasian",No,No,No,Yes,Yes,Yes,No,Yes,No,,Less than 1 year,Two days a week,Less than 25%,4,3,-1,3,2,3
1111,Rock climbing,Female,4-Attracted to men more than women,29,16,"White, Caucasian",No,No,No,Yes,No,No,Yes,Yes,No,,1-3 years,One day a week,About 25%,4,3,-1,1,2,2
1112,Rock climbing,Female,5-Attracted to men exclusively,53,18,Asian,No,Yes,No,Yes,No,Yes,No,No,Yes,,1-3 years,Three days a week,Less than 25%,0,0,0,4,4,1
1113,Rock climbing,Female,4-Attracted to men more than women,32,17,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,,1-3 years,Two days a week,About 25%,2,3,1,1,3,2
1114,Rock climbing,Female,4-Attracted to men more than women,20,12,"White, Caucasian",No,Yes,No,Yes,No,No,Yes,Yes,No,,1-3 years,Three days a week,Less than 25%,4,2,-2,2,2,2
1115,Rock climbing,Female,4-Attracted to men more than women,35,22,Other,No,Yes,No,Yes,No,Yes,No,Yes,No,,10 or more years,Two days a week,About 50%,2,1,-1,4,4,2
1116,Rock climbing,Female,4-Attracted to men more than women,43,16,Asian,No,Yes,No,Yes,Yes,No,Yes,Yes,No,,7-9 years,Four days a week,Less than 25%,5,2,-3,1,3,3
1117,Rock climbing,Female,4-Attracted to men more than women,38,18,Asian,No,Yes,No,Yes,Yes,No,Yes,No,No,"aerial arts, yoga",1-3 years,Four days a week,Less than 25%,3,2,-1,3,3,2
1118,Rock climbing,Female,5-Attracted to men exclusively,37,22,"White, Caucasian",No,No,No,Yes,No,No,No,Yes,No,"I have participating in some of the other activities listed above, but not regularly at the current time.",7-9 years,Three days a week,About 75%,3,2,-1,2,2,1
1119,Rock climbing,Female,3-Attracted to women and men equally,54,18,"White, Caucasian",No,No,No,Yes,No,Yes,No,Yes,No,horseback riding snowshoeing chopping wood,10 or more years,Two days a week,About 25%,4,3,-1,3,3,3
1120,Rock climbing,Female,5-Attracted to men exclusively,28,18,"White, Caucasian",No,No,No,Yes,No,No,Yes,Yes,No,,7-9 years,Three days a week,About 25%,4,4,0,2,3,4
1121,Rock climbing,Female,5-Attracted to men exclusively,27,16,"White, Caucasian",No,Yes,No,Yes,No,No,No,Yes,Yes,,1-3 years,One day a week,About 25%,6,5,-1,1,2,2
1122,Rock climbing,Female,5-Attracted to men exclusively,27,16,Other,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,1-3 years,Two days a week,About 75%,4,3,-1,1,3,2
1123,Rock climbing,Female,5-Attracted to men exclusively,48,15,"White, Caucasian",No,No,No,Yes,No,No,No,Yes,No,,10 or more years,One day a week,Less than 25%,1,1,0,4,3,2
1124,Rock climbing,Female,5-Attracted to men exclusively,28,16,"White, Caucasian",No,No,No,Yes,No,Yes,No,Yes,No,,4-6 years,Three days a week,Less than 25%,4,3,-1,3,4,4
1125,Rock climbing,Female,5-Attracted to men exclusively,45,16,Other,Yes,No,No,Yes,No,No,No,Yes,No,,4-6 years,Three days a week,More than 75%,6,4,-2,1,3,3
1126,Rock climbing,Female,4-Attracted to men more than women,24,18,"White, Caucasian",No,No,No,Yes,Yes,No,No,Yes,No,"skiing, horsebackriding",Less than 1 year,Two days a week,More than 75%,2,3,1,4,3,2
1127,Rock climbing,Female,5-Attracted to men exclusively,28,16,Asian,No,No,No,Yes,No,No,No,Yes,Yes,Soccer,1-3 years,Three days a week,About 50%,3,3,0,3,3,2
1128,Rock climbing,Female,5-Attracted to men exclusively,26,20,"White, Caucasian",No,Yes,No,Yes,No,No,No,Yes,No,"Dance (ballet, swing)",1-3 years,Four days a week,Less than 25%,4,3,-1,1,3,4
1129,Rock climbing,Female,5-Attracted to men exclusively,29,16,Asian,No,Yes,No,Yes,No,Yes,No,Yes,Yes,,1-3 years,Four days a week,About 50%,7,4,-3,1,2,2
1130,Rock climbing,Female,5-Attracted to men exclusively,33,18,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,,7-9 years,Two days a week,Less than 25%,2,2,0,3,2,2
1131,Rock climbing,Female,3-Attracted to women and men equally,27,19,Asian,No,Yes,No,Yes,No,Yes,No,Yes,No,,1-3 years,Four days a week,About 50%,5,3,-2,2,2,2
1132,Rock climbing,Female,1-Attracted to women exclusively,25,16,"White, Caucasian",No,Yes,No,Yes,No,No,Yes,Yes,No,Ultimate Frisbee,1-3 years,Three days a week,About 75%,3,3,0,3,3,3
1133,Rock climbing,Female,1-Attracted to women exclusively,51,16,Asian,No,No,No,Yes,No,No,Yes,Yes,No,"both weightlifting and hiking is not much these days, and hiking often (to me) is the approach to a climb.",10 or more years,Two days a week,About 25%,1,1,0,4,2,3
1134,Rock climbing,Female,5-Attracted to men exclusively,34,21,"White, Caucasian",No,Yes,No,Yes,No,No,Yes,Yes,No,,1-3 years,Three days a week,Less than 25%,2,2,0,1,3,2
1135,Rock climbing,Female,5-Attracted to men exclusively,29,16,Other,Yes,Yes,No,Yes,No,No,No,Yes,No,,4-6 years,Three days a week,Less than 25%,3,3,0,3,3,3
1136,Rock climbing,Female,5-Attracted to men exclusively,27,16,"White, Caucasian",No,Yes,No,Yes,Yes,No,No,Yes,No,Soccer,1-3 years,Four days a week,About 25%,6,4,-2,2,4,4
1137,Rock climbing,Female,4-Attracted to men more than women,28,17,Asian,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Snowboarding,1-3 years,Three days a week,Less than 25%,6,2,-4,2,1,2
1138,Rock climbing,Female,4-Attracted to men more than women,31,21,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,No,Yes,No,,1-3 years,Three days a week,About 25%,4,3,-1,2,3,3
1139,Rock climbing,Female,4-Attracted to men more than women,33,22,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,,4-6 years,Four days a week,About 50%,4,4,0,2,3,4
1140,Rock climbing,Female,4-Attracted to men more than women,36,16,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,No,Yes,No,,10 or more years,Two days a week,About 25%,7,5,-2,1,2,2
1141,Rock climbing,Female,5-Attracted to men exclusively,28,16,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,,7-9 years,Three days a week,About 50%,4,4,0,1,3,3
